idx,anchor,purpose,url,slug,kind,status,http_status,chars,title,html_file,text_file,shot_file,accessed_at,error
1,Schiphol Group – Business Model / AirportCity Formula,"Định nghĩa AirportCity, 3 trụ cột Aviation – Consumer Products & Services – Real Estate; mô hình kinh doanh",https://www.schiphol.nl/en/schiphol-group/business-model/,01_schiphol_group_business_model_airportcity_formula,,ok,200,6921,Schiphol | Businessmodel,pages/01_schiphol_group_business_model_airportcity_formula.html,pages/01_schiphol_group_business_model_airportcity_formula.txt,pages/01_schiphol_group_business_model_airportcity_formula.png,2026-08-08T02:25:07.648575+00:00,
2,Schiphol Real Estate – About Us,"450+ companies, 35 business buildings/offices, vai trò của Schiphol Real Estate, phát triển khu vực",https://www.schiphol.nl/en/real-estate/about-us/,02_schiphol_real_estate_about_us,,ok,200,7793,Schiphol | About Schiphol Real Estate - The Netherlands' most accessible hub location,pages/02_schiphol_real_estate_about_us.html,pages/02_schiphol_real_estate_about_us.txt,pages/02_schiphol_real_estate_about_us.png,2026-08-08T02:25:16.066923+00:00,
3,Schiphol Business District,"CBD, office, WTC, The Base, The Outlook, hotel, meeting, retail, services, kết nối giao thông",https://www.schiphol.nl/en/real-estate/schiphol-business-district/,03_schiphol_business_district,,ok,200,8410,Schiphol | Schiphol Business District - Offices at a Prime Location,pages/03_schiphol_business_district.html,pages/03_schiphol_business_district.txt,pages/03_schiphol_business_district.png,2026-08-08T02:25:21.733495+00:00,
4,Amsterdam Airport Schiphol – Facts & Figures 2025,"66,8 triệu passenger; 473.815 movements; 1,49 triệu tấn cargo; 301 destinations; 120 airlines; 36,3% transfer passengers",https://www.schiphol.nl/en/aviation-partnerships/amsterdam-airport-schiphol-airport-facts/,04_amsterdam_airport_schiphol_facts_figures_2025,,ok,200,3255,Schiphol | All the major facts on Amsterdam Airport Schiphol,pages/04_amsterdam_airport_schiphol_facts_figures_2025.html,pages/04_amsterdam_airport_schiphol_facts_figures_2025.txt,pages/04_amsterdam_airport_schiphol_facts_figures_2025.png,2026-08-08T02:25:29.306749+00:00,
5,Schiphol – Airport Facts,Diện tích sân bay 2.787 ha; khoảng 68.000 người làm việc; khoảng 800 companies; Mainport; lịch sử; runway; cargo,https://www.schiphol.nl/en/you-and-schiphol/facts-about-airport/,05_schiphol_airport_facts,,ok,200,11736,Schiphol | Interesting facts about the airport,pages/05_schiphol_airport_facts.html,pages/05_schiphol_airport_facts.txt,pages/05_schiphol_airport_facts.png,2026-08-08T02:25:35.161498+00:00,
6,Schiphol Real Estate – Total Offering / Central Business District,"Diện tích từng tòa nhà văn phòng, LFA, giá thuê, các dự án hiện hữu",https://www.schiphol.nl/en/real-estate/total-offering/?locality=schiphol-central-business-disctrict,06_schiphol_real_estate_total_offering_central_busine,,ok,200,4060,"Schiphol | Overview available offices, business spaces and parcels | Schiphol",pages/06_schiphol_real_estate_total_offering_central_busine.html,pages/06_schiphol_real_estate_total_offering_central_busine.txt,pages/06_schiphol_real_estate_total_offering_central_busine.png,2026-08-08T02:25:39.731592+00:00,
7,Schiphol Real Estate – Office Portfolio,"Office stock theo từng khu vực: Central Business District, Schiphol East, Schiphol Southeast...",https://www.schiphol.nl/en/real-estate/total-offering/?property=office-space,07_schiphol_real_estate_office_portfolio,,ok,200,4955,"Schiphol | Overview available offices, business spaces and parcels | Schiphol",pages/07_schiphol_real_estate_office_portfolio.html,pages/07_schiphol_real_estate_office_portfolio.txt,pages/07_schiphol_real_estate_office_portfolio.png,2026-08-08T02:25:51.194569+00:00,
8,Schiphol Real Estate – Facilities,"Retail, F&B, meeting, childcare, sports, services, tiện ích đô thị",https://www.schiphol.nl/en/real-estate/facilities/,08_schiphol_real_estate_facilities,,ok,200,8240,Schiphol | Schiphol Real Estate Facilities - Everything you need,pages/08_schiphol_real_estate_facilities.html,pages/08_schiphol_real_estate_facilities.txt,pages/08_schiphol_real_estate_facilities.png,2026-08-08T02:25:58.028784+00:00,
9,Schiphol Group – Business Areas,"Logistics, cargo, office, real estate, commercial activities, hệ sinh thái kinh tế",https://www.schiphol.nl/en/schiphol-group/business-areas/,09_schiphol_group_business_areas,,ok,200,4863,Schiphol | Business areas,pages/09_schiphol_group_business_areas.html,pages/09_schiphol_group_business_areas.txt,pages/09_schiphol_group_business_areas.png,2026-08-08T02:26:04.202992+00:00,
10,Avioport – Schiphol Business District,Một case cụ thể về office + retail + childcare + restaurant + gym + meeting + multimodal accessibility,https://www.schiphol.nl/en/real-estate/properties/avioport/,10_avioport_schiphol_business_district,,ok,200,7022,Schiphol | Avioport Schiphol - A dynamic place to do business,pages/10_avioport_schiphol_business_district.html,pages/10_avioport_schiphol_business_district.txt,pages/10_avioport_schiphol_business_district.png,2026-08-08T02:26:09.069494+00:00,
